HRJobContract-id,HRJobContract-contact_id,HRJobDetails-position,HRJobDetails-title,HRJobDetails-funding_notes,HRJobDetails-contract_type,HRJobDetails-period_start_date,HRJobDetails-period_end_date,HRJobDetails-end_reason,HRJobDetails-notice_amount,HRJobDetails-notice_unit,HRJobDetails-notice_amount_employee,HRJobDetails-notice_unit_employee,HRJobDetails-location,HRJobHealth-provider,HRJobHealth-plan_type,HRJobHealth-description,HRJobHealth-dependents,HRJobHealth-provider_life_insurance,HRJobHealth-plan_type_life_insurance,HRJobHealth-description_life_insurance,HRJobHealth-dependents_life_insurance,HRJobHour-location_standard_hours,HRJobHour-hours_type,HRJobHour-hours_amount,HRJobHour-hours_unit,HRJobHour-hours_fte,HRJobHour-fte_num,HRJobHour-fte_denom,HRJobPay-pay_scale,HRJobPay-is_paid,HRJobPay-pay_amount,HRJobPay-pay_unit,HRJobPay-pay_currency,HRJobPay-pay_annualized_est,HRJobPay-pay_is_auto_est,HRJobPay-annual_benefits,HRJobPay-pay_cycle,HRJobPay-pay_per_cycle_gross,HRJobPay-pay_per_cycle_net,HRJobPension-is_enrolled,HRJobPension-ee_contrib_pct,HRJobPension-er_contrib_pct,HRJobPension-pension_type,HRJobLeave-leave_amount
12,248,Area Manager - Islington,Area Manager - Islington,Funded from corpus,Fixed Term,9/8/2007,5/8/2020,Planned,3,Month,3,Month,Islington,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Islington,Part_Time,34,Week,0.89,17,19,E3,Paid,55205,Year,GBP (£),55205,0,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,4600.42,4650.42,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
13,249,Subject Head - Literacy,Subject Head - Literacy,Donor funded position,Employee_Permanent,7/25/2011,,,3,Month,3,Month,Stratford,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Stratford,Full_Time,,Week,0,1,1,E4,Paid,58500,Year,GBP (£),58500,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,4875,4925,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
14,250,Teacher - Computer Basics,Teacher - Computer Basics,Donor funded position,Employee_Permanent,10/20/2015,,,3,Month,3,Month,Stratford,236,Family,"GP helpline, NHS cashback & up to 75% no claims discount",Yes,237,Family,Maximum term 40 years or 75 years of age,Yes,Stratford,Full_Time,,Week,0,1,1,E4,Paid,58900,Year,GBP (£),58900,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,4908.33,4958.33,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
15,251,Teacher - Computer Basics,Teacher - Computer Basics,Donor funded position,Employee_Permanent,1/17/2003,,,3,Month,3,Month,Hammersmith,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Hammersmith,Full_Time,,Week,0,1,1,E4,Paid,51800,Year,GBP (£),51800,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,4316.67,4366.67,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
16,252,Manager - Corporate Partnerships,Manager - Corporate Partnerships,Funded from corpus,Fixed Term,3/18/2015,12/31/2017,Planned,3,Month,3,Month,Victoria,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Victoria,Full_Time,40,Week,1,1,1,E3,Paid,64300,Year,GBP (£),64300,0,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,5358.33,5408.33,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
17,253,Office Assistant,Office Assistant,Donor funded position,Employee_Permanent,6/3/2001,,,3,Month,3,Month,Hammersmith,236,Family,"GP helpline, NHS cashback & up to 75% no claims discount",Yes,237,Family,Maximum term 40 years or 75 years of age,Yes,Hammersmith,Full_Time,,Week,0,1,1,E5,Paid,37100,Year,GBP (£),37100,1,,Monthly,3091.67,3091.67,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
18,254,Teacher - Computer Basics,Teacher - Computer Basics,Donor funded position,Employee_Permanent,4/22/2012,,,3,Month,3,Month,Stratford,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Stratford,Full_Time,,Week,0,1,1,E4,Paid,57400,Year,GBP (£),57400,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,4783.33,4833.33,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
19,255,Subject Head - Literacy,Subject Head - Literacy,Donor funded position,Employee_Permanent,9/8/1999,,,3,Month,3,Month,Clapham,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Clapham,Full_Time,,Week,0,1,1,E4,Paid,58200,Year,GBP (£),58200,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,4850,4900,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
20,256,Manager - Administration,Manager - Administration,Funded from corpus,Employee_Permanent,12/25/2005,,,3,Month,3,Month,Victoria,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Victoria,Full_Time,,Week,0,1,1,E3,Paid,64200,Year,GBP (£),64200,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,5350,5400,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
21,257,Office Assistant,Office Assistant,Donor funded position,Fixed Term,11/15/2014,11/15/2016,Planned,3,Month,3,Month,Islington,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Islington,Full_Time,38,Week,1,1,1,E5,Paid,31600,Year,GBP (£),31600,0,[],Monthly,2633.33,2633.33,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
22,258,Teacher - Computer Basics,Teacher - Computer Basics,Donor funded position,Employee_Permanent,6/3/2012,,,3,Month,3,Month,Clapham,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Clapham,Part_Time,25,Week,0.66,25,38,E4,Paid,37566,Year,GBP (£),37566,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,3130.5,3180.5,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
23,259,Manager - IT,Manager - IT,Funded from corpus,Employee_Permanent,12/20/2014,,,3,Month,3,Month,Victoria,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Victoria,Part_Time,24,Week,0.6,3,5,E3,Paid,37380,Year,GBP (£),37380,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,3115,3165,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
24,260,Teacher - Computer Basics,Teacher - Computer Basics,Donor funded position,Employee_Permanent,11/27/2001,,,3,Month,3,Month,Stratford,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Stratford,Part_Time,35,Week,0.92,35,38,E4,Paid,47526,Year,GBP (£),47526,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,3960.5,4010.5,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
25,261,Subject Head - Literacy,Subject Head - Literacy,Donor funded position,Employee - Temporary,4/28/2012,7/28/2016,Involuntary,3,Month,3,Month,Hammersmith,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Hammersmith,Part_Time,35,Week,0.92,35,38,E4,Paid,53513,Year,GBP (£),53513,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,4459.42,4509.42,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
26,262,External Relations Assistant,External Relations Assistant,Donor funded position,Fixed Term,10/20/2002,11/17/2020,Planned,3,Month,3,Month,Victoria,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Victoria,Part_Time,35,Week,0.88,7,8,E5,Paid,26688,Year,GBP (£),26688,0,[],Monthly,2224,2224,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
27,263,Teacher - Computer Basics,Teacher - Computer Basics,Donor funded position,Employee_Permanent,6/27/2006,,,3,Month,3,Month,Clapham,236,Family,"GP helpline, NHS cashback & up to 75% no claims discount",Yes,237,Family,Maximum term 40 years or 75 years of age,Yes,Clapham,Part_Time,30,Week,0.79,15,19,E4,Paid,39868,Year,GBP (£),39868,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,3322.33,3372.33,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
28,264,Community Mobilizer,Community Mobilizer,Donor funded position,Employee_Permanent,4/11/2007,,,3,Month,3,Month,Hammersmith,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Hammersmith,Part_Time,26,Week,0.68,13,19,E5,Paid,23195,Year,GBP (£),23195,1,,Monthly,1932.92,1932.92,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
29,265,Subject Head - Computer Basics,Subject Head - Computer Basics,Donor funded position,Employee_Permanent,1/31/2004,,,3,Month,3,Month,Islington,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Islington,Part_Time,32,Week,0.84,16,19,E4,Paid,48758,Year,GBP (£),48758,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,4063.17,4113.17,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
30,266,Teacher - Computer Basics,Teacher - Computer Basics,Donor funded position,Employee_Permanent,1/28/2001,,,3,Month,3,Month,Islington,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Islington,Full_Time,,Week,0,1,1,E4,Paid,53900,Year,GBP (£),53900,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,4491.67,4541.67,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
31,267,Teacher - Computer Basics,Teacher - Computer Basics,Donor funded position,Employee_Permanent,3/18/2007,,,3,Month,3,Month,Hammersmith,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Hammersmith,Full_Time,,Week,0,1,1,E4,Paid,51200,Year,GBP (£),51200,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,4266.67,4316.67,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
32,268,Subject Head - Literacy,Subject Head - Literacy,Donor funded position,Employee_Permanent,4/7/2013,,,3,Month,3,Month,Islington,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Islington,Full_Time,,Week,0,1,1,E4,Paid,58500,Year,GBP (£),58500,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,4875,4925,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
33,269,CEO,CEO,Funded from corpus,Fixed Term,11/28/2014,,,3,Month,3,Month,Victoria,236,Family,"GP helpline, NHS cashback & up to 75% no claims discount",Yes,237,Family,Maximum term 40 years or 75 years of age,Yes,Victoria,Full_Time,40,Week,1,1,1,E1,Paid,81400,Year,GBP (£),81400,0,[],Monthly,6783.33,6783.33,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
34,270,Subject Head - Numeracy,Subject Head - Numeracy,Donor funded position,Employee_Permanent,9/9/2007,7/30/2017,Planned,3,Month,3,Month,Clapham,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Clapham,Part_Time,25,Week,0.66,25,38,E4,Paid,38289,Year,GBP (£),38289,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,3190.75,3240.75,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
35,271,Office Assistant,Office Assistant,Donor funded position,Employee_Permanent,11/15/2014,3/31/2022,Retirement,3,Month,3,Month,Stratford,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Stratford,Part_Time,22,Week,0.58,11,19,E5,Paid,18063,Year,GBP (£),18063,1,,Monthly,1505.25,1505.25,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
36,272,Teacher - Computer Basics,Teacher - Computer Basics,Donor funded position,Employee_Permanent,11/29/2001,,,3,Month,3,Month,Islington,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Islington,Part_Time,35,Week,0.92,35,38,E4,Paid,54158,Year,GBP (£),54158,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,4513.17,4563.17,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
37,273,Teacher - Computer Basics,Teacher - Computer Basics,Donor funded position,Employee_Permanent,3/31/2009,9/22/2016,Voluntary,3,Month,3,Month,Stratford,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Stratford,Part_Time,30,Week,0.79,15,19,E4,Paid,46342,Year,GBP (£),46342,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,3861.83,3911.83,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
38,274,Teacher - Computer Basics,Teacher - Computer Basics,Donor funded position,Employee_Permanent,9/7/2015,,,3,Month,3,Month,Islington,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Islington,Part_Time,32,Week,0.84,16,19,E4,Paid,42526,Year,GBP (£),42526,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,3543.83,3593.83,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
39,275,Community Mobilizer,Community Mobilizer,Donor funded position,Employee_Permanent,11/10/2008,,,3,Month,3,Month,Hammersmith,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Hammersmith,Part_Time,29,Week,0.76,29,38,E5,Paid,29611,Year,GBP (£),29611,1,,Monthly,2467.58,2467.58,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
40,276,Accountant,Accountant,Donor funded position,Employee_Permanent,3/24/2002,,,3,Month,3,Month,Victoria,236,Family,"GP helpline, NHS cashback & up to 75% no claims discount",Yes,237,Family,Maximum term 40 years or 75 years of age,Yes,Victoria,Part_Time,29,Week,0.73,29,40,E4,Paid,40093,Year,GBP (£),40093,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,3341.08,3391.08,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
41,277,Teacher - Computer Basics,Teacher - Computer Basics,Donor funded position,Employee_Permanent,7/12/1999,,,3,Month,3,Month,Clapham,236,Family,"GP helpline, NHS cashback & up to 75% no claims discount",Yes,237,Family,Maximum term 40 years or 75 years of age,Yes,Clapham,Part_Time,34,Week,0.89,17,19,E4,Paid,49747,Year,GBP (£),49747,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,4145.58,4195.58,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
42,278,Subject Head - Numeracy,Subject Head - Numeracy,Donor funded position,Employee_Permanent,7/19/2002,,,3,Month,3,Month,Hammersmith,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Hammersmith,Part_Time,35,Week,0.92,35,38,E4,Paid,53513,Year,GBP (£),53513,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,4459.42,4509.42,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
43,279,Teacher - Computer Basics,Teacher - Computer Basics,Donor funded position,Employee_Permanent,5/9/2014,,,3,Month,3,Month,Hammersmith,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Hammersmith,Part_Time,30,Week,0.79,15,19,E4,Paid,45711,Year,GBP (£),45711,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,3809.25,3859.25,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
44,280,Communications Assistant,Communications Assistant,Donor funded position,Employee_Permanent,9/26/2015,,,3,Month,3,Month,Victoria,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Victoria,Part_Time,32,Week,0.8,4,5,E5,Paid,30960,Year,GBP (£),30960,1,,Monthly,2580,2580,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
