id,source_record_id,activity_type_id,subject,activity_date_time,duration,details,status_id,priority_id,source_contact_id,assignee_id,target_id
142,,Program and work induction by program supervisor,,2016-09-06 00:00:00,,"
                    ",Scheduled,Normal,306,324,235
143,,Block work email ID,,2016-11-15 00:00:00,,"
                    ",Scheduled,Normal,306,306,257
144,,"Get ""No Dues"" certification",,2016-11-10 00:00:00,,"
                    ",Completed,Normal,306,288,257
145,,Vacation,,2016-09-29 14:05:13,,Leave request. ,Scheduled,Normal,288,324,288
22,21,Absence,,2016-01-06 00:00:00,480,,Completed,Normal,229,,
23,21,Absence,,2016-01-07 00:00:00,480,,Completed,Normal,229,,
24,21,Absence,,2016-01-08 00:00:00,480,,Completed,Normal,229,,
26,25,Absence,,2016-03-26 00:00:00,480,,Completed,Normal,229,,
28,27,Absence,,2016-04-04 00:00:00,480,,Completed,Normal,229,,
30,29,Absence,,2016-02-17 00:00:00,480,,Completed,Normal,229,,
32,31,Absence,,2016-06-14 00:00:00,480,,Completed,Normal,229,,
34,33,Absence,,2016-08-08 00:00:00,480,,Completed,Normal,229,,
35,33,Absence,,2016-08-09 00:00:00,480,,Completed,Normal,229,,
36,33,Absence,,2016-08-10 00:00:00,480,,Completed,Normal,229,,
37,33,Absence,,2016-08-11 00:00:00,480,,Completed,Normal,229,,
38,33,Absence,,2016-08-12 00:00:00,480,,Completed,Normal,229,,
40,39,Absence,,2016-09-02 00:00:00,240,,Scheduled,Normal,288,,
42,41,Absence,,2016-09-09 00:00:00,240,,Scheduled,Normal,288,,
44,43,Absence,,2016-02-02 00:00:00,480,,Completed,Normal,229,,
45,43,Absence,,2016-02-03 00:00:00,480,,Completed,Normal,229,,
46,43,Absence,,2016-02-04 00:00:00,240,,Completed,Normal,229,,
48,47,Absence,,2016-05-31 00:00:00,480,,Completed,Normal,229,,
49,47,Absence,,2016-06-01 00:00:00,480,,Completed,Normal,229,,
51,50,Absence,,2016-07-12 00:00:00,480,,Completed,Normal,229,,
52,50,Absence,,2016-07-13 00:00:00,480,,Completed,Normal,229,,
54,53,Absence,,2016-03-05 00:00:00,480,,Completed,Normal,229,,
56,55,Absence,,2016-03-07 00:00:00,480,,Completed,Normal,229,,
58,57,Absence,,2016-06-25 00:00:00,240,,Completed,Normal,229,,
60,59,Absence,,2016-09-03 00:00:00,240,,Completed,Normal,229,,
62,61,Absence,,2016-12-28 00:00:00,480,,Completed,Normal,229,,
63,61,Absence,,2016-12-29 00:00:00,480,,Completed,Normal,229,,
64,61,Absence,,2016-12-30 00:00:00,480,,Completed,Normal,229,,
66,65,Absence,,2016-04-19 00:00:00,480,,Completed,Normal,229,,
68,67,Absence,,2016-08-01 00:00:00,480,,Completed,Normal,229,,
69,67,Absence,,2016-08-02 00:00:00,480,,Completed,Normal,229,,
70,67,Absence,,2016-08-03 00:00:00,480,,Completed,Normal,229,,
71,67,Absence,,2016-08-04 00:00:00,480,,Completed,Normal,229,,
72,67,Absence,,2016-08-05 00:00:00,480,,Completed,Normal,229,,
74,73,Absence,,2016-01-05 00:00:00,480,,Completed,Normal,229,,
76,75,Absence,,2016-03-21 00:00:00,480,,Completed,Normal,229,,
77,75,Absence,,2016-03-22 00:00:00,480,,Completed,Normal,229,,
78,75,Absence,,2016-03-23 00:00:00,480,,Completed,Normal,229,,
79,75,Absence,,2016-03-24 00:00:00,480,,Completed,Normal,229,,
81,80,Absence,,2016-07-02 00:00:00,240,,Completed,Normal,229,,
83,82,Absence,,2016-08-01 00:00:00,240,,Completed,Normal,229,,
85,84,Absence,,2016-07-28 00:00:00,480,,Completed,Normal,229,,
87,86,Absence,,2016-11-01 00:00:00,480,,Scheduled,Normal,288,,
88,86,Absence,,2016-11-02 00:00:00,480,,Scheduled,Normal,288,,
89,86,Absence,,2016-11-03 00:00:00,480,,Scheduled,Normal,288,,
91,90,Absence,,2016-08-30 00:00:00,480,,Scheduled,Normal,324,,
93,92,Absence,,2016-11-22 00:00:00,480,,Scheduled,Normal,306,,
94,92,Absence,,2016-11-23 00:00:00,480,,Scheduled,Normal,306,,
96,95,Absence,,2016-08-25 00:00:00,480,,Scheduled,Normal,306,,
101,100,Absence,,2016-09-07 00:00:00,480,,Completed,Normal,306,,
102,100,Absence,,2016-09-08 00:00:00,480,,Completed,Normal,306,,
103,100,Absence,,2016-09-09 00:00:00,480,,Completed,Normal,306,,
104,100,Absence,,2016-09-10 00:00:00,0,,Completed,Normal,306,,
105,100,Absence,,2016-09-11 00:00:00,0,,Completed,Normal,306,,
106,100,Absence,,2016-09-12 00:00:00,480,,Completed,Normal,306,,
107,100,Absence,,2016-09-13 00:00:00,480,,Completed,Normal,306,,
108,100,Absence,,2016-09-14 00:00:00,480,,Completed,Normal,306,,
110,109,Absence,,2016-09-07 00:00:00,480,,Completed,Normal,306,,
111,109,Absence,,2016-09-08 00:00:00,480,,Completed,Normal,306,,
112,109,Absence,,2016-09-09 00:00:00,480,,Completed,Normal,306,,
113,109,Absence,,2016-09-10 00:00:00,0,,Completed,Normal,306,,
114,109,Absence,,2016-09-11 00:00:00,0,,Completed,Normal,306,,
115,109,Absence,,2016-09-12 00:00:00,480,,Completed,Normal,306,,
116,109,Absence,,2016-09-13 00:00:00,480,,Completed,Normal,306,,
117,109,Absence,,2016-09-14 00:00:00,480,,Completed,Normal,306,,
119,118,Absence,,2016-09-07 00:00:00,480,,Completed,Normal,306,,
126,125,Absence,,2016-10-10 00:00:00,240,,Scheduled,Normal,324,,
129,128,Absence,,2016-09-13 00:00:00,480,,Completed,Normal,306,,
130,128,Absence,,2016-09-14 00:00:00,480,,Completed,Normal,306,,
131,128,Absence,,2016-09-15 00:00:00,480,,Completed,Normal,306,,
132,128,Absence,,2016-09-16 00:00:00,480,,Completed,Normal,306,,
133,128,Absence,,2016-09-17 00:00:00,0,,Completed,Normal,306,,
134,128,Absence,,2016-09-18 00:00:00,0,,Completed,Normal,306,,
135,128,Absence,,2016-09-19 00:00:00,480,,Completed,Normal,306,,
136,128,Absence,,2016-09-20 00:00:00,480,,Completed,Normal,306,,
146,145,Absence,,2016-10-06 00:00:00,480,,Scheduled,Normal,288,,
147,145,Absence,,2016-10-07 00:00:00,240,,Scheduled,Normal,288,,
148,145,Absence,,2016-10-08 00:00:00,0,,Scheduled,Normal,288,,
149,145,Absence,,2016-10-09 00:00:00,0,,Scheduled,Normal,288,,
150,145,Absence,,2016-10-10 00:00:00,480,,Scheduled,Normal,288,,
